Rating.Agency_Egan-Jones Ratings Company,Rating.Agency_Fitch Ratings,Rating.Agency_Moody's Investors Service,Rating.Agency_Standard & Poor's Ratings Services,Rating,Binary.Rating,Sector_BusEq,Sector_Chems,Sector_Durbl,Sector_Enrgy,Sector_Hlth,Sector_Manuf,Sector_Money,Sector_NoDur,Sector_Other,Sector_Shops,Sector_Telcm,Sector_Utils,Current.Ratio,Long.term.Debt...Capital,Debt.Equity.Ratio,Gross.Margin,Net.Profit.Margin,Asset.Turnover,ROE...Return.On.Equity,Return.On.Tangible.Equity,ROA...Return.On.Assets,ROI...Return.On.Investment,Operating.Cash.Flow.Per.Share,Free.Cash.Flow.Per.Share
0,0,0,1,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6882,0.2883,0.405,63.4828,11.8489,0.3357,12.2173,12.2173,6.0086,8.6956,0.8872,-1.4713
0,0,0,1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6882,0.2883,0.405,63.4828,11.8489,0.3357,12.2173,12.2173,6.0086,8.6956,0.8872,-1.4713
0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1.2203,0.2711,0.4278,4.0548,0.9343,4.4929,16.5156,60.7547,4.2283,12.0389,-1.9596,-2.0551
0,0,0,1,9,1,0,0,0,0,0,1,0,0,0,0,0,0,3.7607,0.3116,0.4527,12.0808,0.1585,0.7571,0.3662,0.4034,0.1326,0.2521,-0.6973,0.9587
0,0,0,1,9,1,0,0,0,0,0,1,0,0,0,0,0,0,2.9277,0.3445,0.6544,14.8648,4.1908,0.841,9.2397,10.2268,3.5996,6.0568,-1.1584,-1.9415
0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1.4446,0.6529,2.6158,28.6959,6.3398,0.6652,25.3866,37.045,4.308,8.8112,-2.6804,-2.4329
0,0,0,1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1.1167,0.2551,0.3424,25.868,7.3983,0.6075,8.4025,9.4874,3.8113,6.2591,-1.3063,1.2156
0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1,0,0,3.2334,0.4292,0.7522,33.8114,3.0081,1.3473,8.9818,20.0802,4.2264,5.127,-1.0769,-1.2493
0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,1,0,0,3.2334,0.4292,0.7522,33.8114,3.0081,1.3473,8.9818,20.0802,4.2264,5.127,-1.0769,-1.2493
0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1.4199,0.0986,0.1136,31.6903,6.1077,1.0426,11.4119,12.0112,6.4166,10.2862,9.6817,-0.2349
0,0,0,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0675,0.9006,9.0569,40.2302,-26.9695,0.5838,-209.3715,124.856,-15.746,-20.8186,-2.5411,-2.8267
0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0792,0.3999,0.707,44.8243,9.5817,0.3201,8.2549,-10.983,3.0945,4.9535,0.2003,0.2075
0,0,0,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,2.2174,1.0007,-1473.098,12.5125,1.0852,2.0886,-5792.089,-163.8132,2.2665,3.9345,-0.183,-0.2989
0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1.024,0.4204,0.8536,43.7272,17.6626,0.3953,16.8404,-18.3919,6.9825,9.7607,0.2102,1.5682
0,0,0,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2627,0.4899,1.1525,35.4971,17.5541,0.3833,20.7295,35.6529,7.0902,10.5734,0.1225,0.3081
0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8753,0.3245,0.4804,99.2539,-5.6098,0.1778,-1.833,-1.833,-0.9971,-1.2381,14.6203,1.684
0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8753,0.3245,0.4804,99.2539,-5.6098,0.1778,-1.833,-1.833,-0.9971,-1.2381,14.6203,1.684
0,0,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1.2641,0.2469,0.3414,58.9816,17.9332,0.4052,14.9112,15.9335,6.5925,11.2298,3.0988,14.315
0,0,0,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,3.1423,0.5514,1.2682,35.7173,16.7917,0.4649,21.9248,-58.6355,7.806,9.8355,0.9662,1.0425
0,0,0,1,8,1,0,0,0,0,0,1,0,0,0,0,0,0,1.9291,0.1243,0.1583,23.9528,7.8633,1.2715,22.8183,25.8679,10.9594,19.9825,-0.6485,-0.6984
0,0,0,1,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1.9291,0.1243,0.1583,23.9528,7.8633,1.2715,22.8183,25.8679,10.9594,19.9825,-0.6485,-0.6984
0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3953,2.4553,-1.7316,39.2677,12.4248,0.7403,-6.4332,-3.9324,6.8694,9.362,0.3234,0.3402
0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3953,2.4553,-1.7316,39.2677,12.4248,0.7403,-6.4332,-3.9324,6.8694,9.362,0.3234,0.3402
0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3953,2.4553,-1.7316,39.2677,12.4248,0.7403,-6.4332,-3.9324,6.8694,9.362,0.3234,0.3402
0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3953,2.4553,-1.7316,39.2677,12.4248,0.7403,-6.4332,-3.9324,6.8694,9.362,0.3234,0.3402
0,0,0,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,4.7028,0.453,0.828,17.5583,5.5702,0.7409,9.3446,9.4016,4.1272,5.1119,-1.3745,-1.4152
0,0,0,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,4.6933,0.3938,0.6497,16.8692,1.9743,0.6787,2.7368,2.7535,1.34,1.6589,-2.1673,-2.1582
0,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,3.652,0.2403,0.3203,50.8848,11.9634,0.6817,13.9972,50.6207,8.2056,10.6342,0.1706,0.2293
0,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,3.652,0.2403,0.3203,50.8848,11.9634,0.6817,13.9972,50.6207,8.2056,10.6342,0.1706,0.2293
0,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,3.652,0.2403,0.3203,50.8848,11.9634,0.6817,13.9972,50.6207,8.2056,10.6342,0.1706,0.2293
0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1.1521,0.5116,1.2064,62.5807,7.39,0.3424,9.5611,13.8248,2.5988,4.6695,-0.2927,-0.6594
0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1.1521,0.5116,1.2064,62.5807,7.39,0.3424,9.5611,13.8248,2.5988,4.6695,-0.2927,-0.6594
0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1.1521,0.5116,1.2064,62.5807,7.39,0.3424,9.5611,13.8248,2.5988,4.6695,-0.2927,-0.6594
